RETN	ADAMTS3	LDHA	LCN2	IL1R2	DDIT4	CEACAM8	MERTK	MPO	ARL4A	CDKN3	PRTN3	MTMR11	ANLN	IL1RAP	HLA-DMB	ZBTB16	NUSAP1	GGH	MMP8	PRC1	CD24	CTSL	MAFF	NFE2	BLM	OLFM4	MAP3K7CL	CEACAM6	FCER1A	CEP55	TLR7	GPI	SLC46A2	FCGR2B	SLC51A	NA	PNPLA6	LTF	HLA-DPA1	MS4A4A	CENPW	FGFBP2	CEACAM1	TAGAP	DAAM2	ORM1	IFI44L	SLCO4A1	BEX1	IFIT1	NELL2	RPS6KA5	COL17A1	PARP8	CX3CR1	TBC1D4	TOP2A	HSP90AA1	TCEAL9	ARG1	SUCNR1	KIF14	TGFBI	OLAH	CR1L	ETS2	TUBG1	UHRF1	CTSG	HGF	NDUFA1	ZNF600	RASGRP1	PTX3	HIPK2	CD86	ELANE	LY9	THBS1	NR3C2	NARF	HCAR3	CFD	CCNE2	IFIT5	CLEC4D	GADD45A	ROMO1	PADI4	NUF2	CEBPE	UPP1	CEACAM21	TSPAN13	KLRF1	TSPO	DDAH2	GNA15	ASPM	KCNE1	CD3E	RTN1	CTSO	CCL5	CACNA2D3	NR1D2	DDX58	NKG7	LRG1	Label
Norm_1.02	17.12056158	5.267865102	1719.957956	84.28584163	4640.989154	254.1744912	55.31258357	188.3261774	64.53134749	940.3139206	36.87505571	2.633932551	142.2323577	89.55370673	3023.754568	805.9833605	526.7865102	302.9022433	21.07146041	55.31258357	2.633932551	187.0092111	81.65190907	61.89741494	5217.820383	122.4778636	32.92415688	1352.524365	25.02235923	81.65190907	5.267865102	449.0854999	650.58134	193.5940425	464.8890952	40.82595454	NA	1399.935151	348.996063	1671.230203	85.6028079	6.584831377	85.6028079	460.9381964	4519.828257	169.8886495	47.41078591	969.2871787	15.8035953	0	919.2424602	281.8307829	1983.351211	5.267865102	8286.351805	1561.922003	292.3665131	110.6251671	2211.186376	2.633932551	322.6567375	26.33932551	279.1968504	1744.980315	11.85269648	254.1744912	2371.856262	34.24112316	27.65629178	3.950898826	380.6032536	201.4958401	142.2323577	538.6392066	3.950898826	3039.558164	503.0811172	14.48662903	301.5852771	2205.918511	130.3796613	2344.19997	1539.533576	434.5988709	39.50898826	1087.814143	1021.96583	449.0854999	65.84831377	2141.387164	22.38842668	36.87505571	2133.485366	180.4243797	131.6966275	142.2323577	2080.806715	684.8224632	304.2192096	123.7948299	456.9872976	650.58134	347.6790967	243.6387609	1397.301218	27.65629178	410.8934779	2495.651092	312.1210073	2033.395929	0
Norm_10.03	596.0180226	282.6703122	6298.727227	2248.215041	4360.573033	176.3950398	67.92852463	1404.58659	62.4504178	358.2681864	38.34674777	4.38248546	65.7372819	75.59787418	2801.50383	284.8615549	55.87668961	253.0885353	38.34674777	6950.621939	6.57372819	317.7301958	166.5344475	44.92047596	8150.327334	128.1876997	145.7176415	272.8097199	8.76497092	33.96426231	14.24307774	146.8132629	1350.901143	67.92852463	235.5585935	397.7105555	NA	3638.558553	6433.488655	364.8419145	1869.130049	12.05183501	10.95621365	2377.498362	1671.918203	186.255632	59.16355371	35.05988368	79.98035964	2.19124273	24.10367003	133.6658065	594.9224012	242.1323217	4429.597179	1339.944929	224.6023798	169.8213116	2353.394692	7.669349555	611.3567217	72.31101009	237.7498362	1198.609773	7.669349555	234.4629721	2448.713751	41.63361187	42.72923323	1.095621365	1114.246928	371.4156427	115.0402433	634.3647703	31.77301958	3281.385988	154.4826125	17.52994184	172.0125543	3133.477104	100.7971656	3498.319018	559.8625175	200.4987098	39.44236914	328.6864095	3149.911424	908.2701116	149.0045056	6060.977391	20.81680593	144.6220202	3395.33061	246.5148071	94.22343739	28.48615549	5730.099739	1239.147764	579.5837021	170.9169329	964.1468012	512.7507988	136.9526706	200.4987098	419.6229828	9.860592285	289.2440404	936.7562671	456.8741092	4403.302266	1
Norm_111.02	2206.74616	374.3150361	11549.94304	5307.689351	64015.21068	446.4868894	325.384966	1650.166613	58.71608409	415.9055956	17.12552453	9.786014015	40.36730781	127.2181822	7102.199671	58.71608409	2707.056127	152.906469	44.03706307	28471.18452	6.116258759	1493.590389	267.8921337	39.14405606	11932.82084	238.5340916	6556.62939	113.7624129	9.786014015	0	48.93007007	50.15332183	1887.477453	37.92080431	165.1389865	1527.841438	NA	4408.599314	6751.126418	133.334441	2736.414169	13.45576927	3.669755256	6413.508935	996.9501778	7910.769079	129.6646857	7.339510511	450.1566447	1.223251752	6.116258759	80.73461562	176.1482523	132.1111892	5532.767674	249.5433574	81.95786737	232.4178329	3877.708053	8.562762263	5817.785332	7.339510511	195.7202803	408.5660851	1903.379726	94.19038489	10113.84548	29.35804204	50.15332183	2.446503504	1164.535668	544.3470296	80.73461562	159.0227277	23.24178329	7945.020128	113.7624129	12.23251752	62.38583934	5757.845996	36.69755256	3339.477283	239.7573434	132.1111892	28.13479029	283.7944064	5121.755085	3152.319765	162.692483	7689.360512	26.91153854	179.8180075	8441.660339	354.743008	22.01853153	15.90227277	7785.997401	2214.085671	655.662939	212.8458048	4148.046691	172.478497	124.7716787	81.95786737	225.0783223	4.893007007	99.0833919	988.3874155	4464.868894	7937.680618	1
Norm_117.01	125.3631886	5.223466192	1353.623953	204.461391	3721.346557	183.5675262	170.8819654	165.6584992	154.4653574	646.2173889	16.41660803	7.46209456	220.877999	56.71191866	2118.488646	970.8185023	344.0025592	210.4310666	16.41660803	423.846971	8.208304016	214.9083233	110.4389995	157.4501952	7047.202103	85.06787799	236.5483976	1014.84486	47.75740519	11.9393513	12.68556075	455.9339776	726.0618007	204.461391	748.4480844	85.06787799	NA	2181.17024	1073.795407	1041.708401	57.45812812	8.208304016	23.13249314	2072.223659	8856.013824	823.8152395	463.3960722	4246.678014	17.90902695	1.492418912	2834.849724	112.6776279	1922.235559	6.715885104	8972.422499	431.3090656	244.7567016	145.5108439	2402.794448	5.223466192	1459.585696	17.16281749	217.8931612	1331.983879	121.6321413	164.9122898	2027.451092	36.56426335	45.51877682	14.17797966	361.9115862	254.4574245	113.4238373	347.7336065	21.64007423	3325.855546	515.6307341	52.98087138	205.9538099	1579.725418	121.6321413	2212.511037	2068.492612	571.5964433	17.16281749	1703.596188	1436.453203	318.6314377	97.00722929	7093.467089	17.16281749	44.02635791	2636.358008	170.135756	70.88989832	109.69279	2210.272409	789.4896045	249.2339583	158.1964047	935.7466579	325.3473228	306.6920864	189.5372018	796.9516991	97.75343874	295.4989446	4169.81844	218.6393706	2365.483976	0
Norm_119.01	65.38687338	4.359124892	2837.790305	225.2214528	26224.49535	741.0512317	156.9284961	187.4423704	110.4311639	868.9188952	27.60779098	7.265208154	98.80683089	78.46424806	10814.98886	305.1387425	5616.005903	252.8292438	82.82337295	273.1718266	0	271.718785	27.60779098	188.895412	8250.370379	129.3207051	209.2379948	1922.374077	52.30949871	2.906083262	11.62433305	111.8842056	486.7689463	138.0389549	591.3879437	33.41995751	NA	2263.838861	1612.87621	691.6478162	71.19903991	2.906083262	75.5581648	632.0731094	5495.403448	6306.200677	405.398615	2351.021359	30.51387425	1.453041631	2053.147824	180.1771622	2734.624349	20.34258283	12953.86614	181.6302038	188.895412	145.3041631	2398.971732	11.62433305	938.6648935	26.15474935	247.0170772	1386.201716	847.1232707	206.3319116	4210.914646	37.7790824	33.41995751	23.24866609	1130.466389	358.9012828	142.3980798	332.7465334	40.68516566	5453.26524	276.0779098	55.21558197	174.3649957	3488.752955	58.12166523	4963.590211	1267.052302	206.3319116	46.49733218	1184.228929	3892.698529	1373.124341	98.80683089	4424.511766	20.34258283	56.6686236	4792.131298	187.4423704	138.0389549	108.9781223	2380.082191	972.084851	215.0501614	154.0224129	2358.286567	357.4482412	172.9119541	110.4311639	1030.206516	58.12166523	284.7961596	2672.143559	220.8623279	2108.363406	0
Norm_15.02	3511.290929	145.1045773	9591.29264	2026.667237	39039.12736	407.7318702	241.0414879	1182.422423	81.54637403	296.2052116	69.5542602	16.78895936	29.98028457	579.2190979	6132.767012	89.94085371	86.34321956	524.0553743	83.9447968	15010.52888	21.58580489	608.0001711	133.1124635	106.7298131	11009.95971	188.2761871	1622.533001	257.8304473	17.98817074	3.597634148	225.45174	56.36293499	3007.622148	3.597634148	202.6667237	1278.359334	NA	5522.368418	5738.226467	182.2801302	1259.171952	40.77318702	8.39447968	14093.13217	2671.842961	1758.043887	35.97634148	10494.29881	382.5484311	1.199211383	2223.337904	35.97634148	371.7555287	86.34321956	5374.865418	148.7022115	65.95662606	1019.329675	4423.890791	11.99211383	3164.718839	74.35110574	416.1263498	44.37082116	590.0120004	173.8856505	3287.0384	32.37870734	218.2564717	2.398422766	2574.706839	514.4616832	76.7495285	178.682496	10.79290245	3187.503856	22.78501627	27.58186181	64.75741467	4525.823759	31.17949595	4722.494426	356.1657807	15.58974798	98.33533339	2386.430652	4498.241897	1812.008399	169.088805	4747.677865	128.315618	112.72587	5547.551857	405.3334474	41.9723984	20.38659351	8545.580314	1297.546716	845.4440249	925.7911875	2652.655579	165.4911708	76.7495285	249.4359676	302.2012685	1.199211383	143.9053659	4536.616661	2437.996741	6889.469394	0
Norm_16.01	2222.514945	58.54886578	11715.62804	2873.578333	73118.16555	262.2989187	1122.967246	1327.888276	190.8693025	494.1524272	44.497138	7.025863894	51.52300189	155.739983	19727.45484	155.739983	2249.447423	269.3247826	39.81322873	51265.38688	4.683909263	1726.020563	548.0173837	334.8995123	10915.85054	120.6106635	13921.74931	264.6408733	112.4138223	0	85.48134405	19.90661437	4195.611722	5.854886578	462.5360397	1853.657091	NA	9043.457809	17999.09232	258.7859868	669.7990246	19.90661437	4.683909263	19889.04971	2929.785244	1570.28058	4.683909263	9737.847357	689.7056389	12.88075047	484.7846087	5.854886578	278.6926011	81.9684121	4544.562962	48.01006994	23.41954631	333.728535	4592.573032	17.56465974	2864.210514	122.9526181	201.4080983	93.67818526	1257.629637	175.6465974	8313.938941	85.48134405	67.91668431	2.341954631	18212.21019	478.9297221	48.01006994	121.7816408	18.73563705	4654.63483	48.01006994	46.83909263	28.10345558	16851.53455	14.05172779	2590.201822	1464.892622	394.6193554	43.32616068	1980.122641	6288.148185	2769.361352	151.0560737	6637.099425	29.27443289	182.6724612	8217.918802	357.1480813	21.07759168	4.683909263	5412.257153	2101.904282	1188.541975	244.734259	3256.487915	65.57472968	53.86495652	169.7917108	385.2515369	2.341954631	125.2945728	3587.874495	8308.084055	6160.511658	0
Norm_17.01	106.5260115	43.9998743	2572.834755	134.3154058	2479.04555	145.8943201	81.05240003	281.3676173	131.9996229	439.998743	38.21041716	20.84204572	202.6310001	84.52607432	1113.891555	254.7361144	113.47336	490.9459659	25.47361144	477.0512688	2.315782858	158.6311258	83.36818289	50.94722288	8149.239878	77.57872574	214.2099144	253.578223	28.94728573	77.57872574	15.05258858	160.9469086	922.8394689	180.6310629	341.5779716	72.94716003	NA	1963.783864	482.8407259	486.3144002	275.5781601	12.73680572	30.10517715	2165.256972	3597.56867	25.47361144	24.31572001	155.1574515	27.7893943	1.157891429	155.1574515	99.5786629	1363.996103	19.68415429	7278.505523	1248.20696	254.7361144	135.4732972	2524.203315	17.36837144	448.103983	61.36824574	283.6834001	2125.888664	39.36830859	229.2625029	2667.781852	25.47361144	42.84198287	10.42102286	463.1565716	329.9990573	134.3154058	481.6828345	26.63150287	2960.728384	320.7359258	18.52626286	163.2626915	4931.459596	113.47336	3113.570053	1805.152738	289.4728573	38.21041716	786.2082803	1570.100778	700.5243146	108.8417943	3012.833498	17.36837144	77.57872574	2921.360075	155.1574515	90.31553146	37.05252573	3457.463807	911.2605546	345.0516459	164.4205829	656.5244403	582.4193888	200.3152172	196.8415429	977.2603661	20.84204572	253.578223	2519.57175	455.0513316	2819.46563	0
Norm_22.01	334.2489458	2.558027647	1331.879728	1309.710155	1680.624164	102.3211059	1037.706549	156.8923623	1080.340343	508.1948258	27.28562823	212.3162947	358.1238705	104.8791335	1279.866499	1252.580871	104.0264576	338.5123253	26.43295235	1610.704742	1.705351764	863.7606687	61.39266352	99.76307822	3102.887536	134.7227894	965.2290987	607.957904	325.722187	132.1647617	7.67408294	464.7083558	1040.264576	282.235717	366.6506294	23.8749247	NA	1494.740822	9303.546551	2101.84605	83.56223646	14.49549	20.46422117	1584.271789	6164.846629	97.20505058	183.3253147	2885.455186	8.526758822	9.379434705	1441.874917	250.6867094	2486.402873	63.09801529	6499.94825	1188.63018	421.2218858	127.9013823	2683.371001	10.23211059	376.88274	85.26758822	243.8653023	2044.716766	10.23211059	163.7137694	1188.63018	40.07576647	80.15153293	181.6199629	275.41431	218.2850259	132.1647617	762.2922387	50.30787705	2743.058313	763.1449146	447.6548382	306.1106417	1492.182794	177.3565835	1694.266978	1404.357178	437.4227276	39.22309058	1256.84425	1099.951888	167.9771488	78.44618117	4660.726372	18.75886941	130.45941	1539.932643	190.9993976	77.59350528	40.92844235	1450.401676	443.3914588	325.722187	203.7895359	243.0126264	661.6764846	380.2934435	296.731207	842.4437717	28.13830411	422.0745617	4433.914588	225.9591088	1056.465418	0
Norm_28.02	564.8016924	412.8735164	5796.465829	2415.773974	35501.32363	581.0382914	81.1829948	1003.189864	320.0929509	222.6733572	35.95246913	16.23659896	71.90493825	114.8159498	1599.304998	250.5075268	2267.325069	365.3234766	41.75125447	13305.89285	10.43781362	532.3284945	200.6379729	53.34882515	9927.520507	107.8574074	4134.533949	323.5722221	19.71587017	4.639028274	51.02931102	221.5136001	720.2091396	35.95246913	209.9160294	1360.395041	NA	2269.644583	5329.08373	418.6723018	541.606551	19.71587017	8.11829948	3594.087156	5010.150536	5382.432555	185.561131	41365.05536	140.3306053	1.159757069	25623.67267	129.8927917	403.5954599	63.78663877	8545.090081	97.41959376	198.3184587	317.7734368	2806.612106	10.43781362	5129.605514	81.1829948	202.957487	56.82809636	1861.410095	92.78056549	5204.989724	77.70372359	113.6561927	15.07684189	3364.455256	243.5489844	74.22445239	472.0211269	52.18906809	4468.543985	106.6976503	34.79271206	205.2770011	1832.416168	127.5732775	1915.918677	840.8238747	103.2183791	63.78663877	6370.545578	7776.171145	2050.450497	106.6976503	5787.187772	32.47319792	82.34275187	7196.292611	307.3356232	109.0171644	33.63295499	3234.562464	2494.637455	468.5418557	277.1819394	3821.399541	553.2041217	96.25983669	106.6976503	873.2970726	0	390.8381321	11810.96599	1080.893588	4410.556132	1
